cultivar_long,cultivar,crop_long,crop,t_base,min_gdd
Tropical japonica (120 day),tropical_japonica_120,tropical_japonica,tropical_japonica,10,2900
Tropical japonica (120–130 day),tropical_japonica_120–130,tropical_japonica,tropical_japonica,10,3000
Tropical japonica (130 day),tropical_japonica_130,tropical_japonica,tropical_japonica,10,3300
Indica (110 day),indica_110,indica,indica,10,2400
Indica (120 day),indica_120,indica,indica,10,3000
Temperate japonica (130 day),temperate_japonica_130,temperate_japonica,temperate_japonica,10,2500
Temperate japonica (150 day),temperate_japonica_150,temperate_japonica,temperate_japonica,10,3000
